ASV_ID	taxonomy
ASV_10284	Fungi;Ascomycota;NA;NA;NA;NA;NA
ASV_10285	Fungi;Mucoromycota;Umbelopsidomycetes;Umbelopsidales;Umbelopsidaceae;Umbelopsis;isabellina
ASV_10287	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;NA;NA;NA
ASV_10289	Fungi;Ascomycota;Leotiomycetes;Helotiales;Dermateaceae;Cryptosporiopsis;NA
ASV_1029	Fungi;Rozellomycota;Rozellomycotina_cls_Incertae_sedis;GS11;NA;NA;NA
ASV_10290	Fungi;Basidiomycota;Tremellomycetes;Tremellales;NA;NA;NA
ASV_10291	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10293	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Mycenaceae;Mycena;NA
ASV_10294	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;NA;NA
ASV_10295	Fungi;Ascomycota;Lecanoromycetes;Caliciales;Caliciaceae;Calicium;glaucellum
ASV_10296	Fungi;Ascomycota;Sordariomycetes;Magnaporthales;Magnaporthaceae;Pseudophialophora;NA
ASV_103	Fungi;Ascomycota;Dothideomycetes;Mytilinidales;Gloniaceae;Cenococcum;NA
ASV_1030	Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella;badia
ASV_10300	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Sporormiaceae;Preussia;persica
ASV_10305	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Massarinaceae;Exosporium;stylobatum
ASV_10307	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10308	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_1031	Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Ascocoryne;NA
ASV_10312	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10313	Fungi;Ascomycota;NA;NA;NA;NA;NA
ASV_10314	Fungi;Mucoromycota;Endogonomycetes;NA;NA;NA;NA
ASV_1032	Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;expallens
ASV_10320	Fungi;Ascomycota;Sordariomycetes;Pisorisporiales;Pisorisporiaceae;Achroceratosphaeria;NA
ASV_10321	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Occultibambusaceae;Brunneofusispora;NA
ASV_10327	Fungi;Basidiomycota;GS27;GS27;NA;NA;NA
ASV_10329	Fungi;Ascomycota;Eurotiomycetes;NA;NA;NA;NA
ASV_1033	Fungi;Ascomycota;Sordariomycetes;Hypocreales;NA;NA;NA
ASV_10330	Fungi;Mucoromycota;Endogonomycetes;GS22;NA;NA;NA
ASV_10333	Fungi;Mucoromycota;Mucoromycetes;Mucorales;Cunninghamellaceae;Absidia;cylindrospora
ASV_10336	Fungi;Ascomycota;Leotiomycetes;Helotiales;NA;NA;NA
ASV_10339	Fungi;Ascomycota;NA;NA;NA;NA;NA
ASV_10343	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10345	Fungi;Mucoromycota;Umbelopsidomycetes;Umbelopsidales;Umbelopsidaceae;Umbelopsis;ramanniana
ASV_10347	Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Nemania;aenea
ASV_10348	Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;NA;NA;NA
ASV_1035	Fungi;Ascomycota;Leotiomycetes;Helotiales;NA;NA;NA
ASV_10353	Fungi;Ascomycota;Dothideomycetes;Pleosporales;NA;NA;NA
ASV_10354	Fungi;Basidiomycota;Agaricomycetes;Sebacinales;Sebacinaceae;Chaetospermum;NA
ASV_1036	Fungi;Basidiomycota;Agaricomycetes;Sebacinales;Sebacinaceae;Sebacina;epigaea
ASV_10368	Fungi;Basidiomycota;Agaricomycetes;Trechisporales;Trechisporales_fam_Incertae_sedis;Sistotremastrum;suecicum
ASV_10369	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;NA;NA;NA
ASV_1037	Fungi;Basidiomycota;Spiculogloeomycetes;Spiculogloeales;NA;NA;NA
ASV_10371	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10374	Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Bankeraceae;Sarcodon;imbricatus
ASV_10377	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Trichomonascaceae;Blastobotrys;NA
ASV_10378	Fungi;Basidiomycota;Tremellomycetes;Tremellales;Syzygosporaceae;Syzygospora;NA
ASV_10379	Fungi;Chytridiomycota;Rhizophlyctidomycetes;Rhizophlyctidales;NA;NA;NA
ASV_1038	Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula;foetens
ASV_10381	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Clavariaceae;Ramariopsis;NA
ASV_10383	Fungi;Ascomycota;NA;NA;NA;NA;NA
ASV_10384	Fungi;Mucoromycota;Endogonomycetes;Endogonales;NA;NA;NA
ASV_10385	Fungi;Rozellomycota;Rozellomycotina_cls_Incertae_sedis;GS05;NA;NA;NA
ASV_10386	Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;NA;NA
ASV_10387	Fungi;Ascomycota;Sordariomycetes;NA;NA;NA;NA
ASV_10388	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Delitschiaceae;NA;NA
ASV_1039	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae;Tolypocladium;cylindrosporum
ASV_10390	Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae;NA;NA
ASV_10392	Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Nemania;changningensis
ASV_10394	Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Teratosphaeriaceae;Teratosphaeria;NA
ASV_10397	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporales_fam_Incertae_sedis;Aaosphaeria;arxii
ASV_10398	Fungi;Ascomycota;Dothideomycetes;Myriangiales;Elsinoaceae;Elsinoe;NA
ASV_10399	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Elaphomycetaceae;Elaphomyces;miyabeanus
ASV_104	Fungi;Ascomycota;Leotiomycetes;Helotiales;Myxotrichaceae;Oidiodendron;NA
ASV_1040	Fungi;Basidiomycota;Agaricomycetes;Sebacinales;Sebacinaceae;Sebacina;NA
ASV_10400	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10401	Fungi;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Aleuria;aurantia
ASV_10402	Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Schizoporaceae;NA;NA
ASV_10405	Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;NA
ASV_10406	Fungi;Ascomycota;Dothideomycetes;NA;NA;NA;NA
ASV_10410	Fungi;Basidiomycota;Cystobasidiomycetes;Cystobasidiales;Cystobasidiaceae;Cystobasidium;NA
ASV_10411	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10412	Fungi;Ascomycota;NA;NA;NA;NA;NA
ASV_10414	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;NA;NA
ASV_10415	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10417	Fungi;Ascomycota;Leotiomycetes;Helotiales;Hyaloscyphaceae;Lachnellula;hyalina
ASV_1042	Fungi;Basidiomycota;Spiculogloeomycetes;Spiculogloeales;NA;NA;NA
ASV_10421	Fungi;Ascomycota;Eurotiomycetes;Coryneliales;Coryneliaceae;Caliciopsis;pinea
ASV_10422	Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;NA;NA;NA
ASV_10423	Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Mrakiaceae;Mrakia;aquatica
ASV_10424	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Melanommataceae;NA;NA
ASV_10425	Fungi;Glomeromycota;Glomeromycetes;Glomerales;Claroideoglomeraceae;Claroideoglomus;NA
ASV_10426	Fungi;Rozellomycota;Rozellomycotina_cls_Incertae_sedis;GS05;NA;NA;NA
ASV_10428	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_1043	Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;NA;NA
ASV_10430	Fungi;Ascomycota;Dothideomycetes;Capnodiales;NA;NA;NA
ASV_10431	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10432	Fungi;Chytridiomycota;Spizellomycetes;Spizellomycetales;NA;NA;NA
ASV_10433	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricales_fam_Incertae_sedis;Panaeolina;foenisecii
